Date,Date Value,Open,High,Low,Close,Volume,Adj Close
12/16/2016,42720,62.950001,62.950001,62.119999,62.299999,42204700,62.299999
12/15/2016,42719,62.700001,63.150002,62.299999,62.580002,27655900,62.580002
12/14/2016,42718,63,63.450001,62.529999,62.68,29272800,62.68
12/13/2016,42717,62.5,63.419998,62.240002,62.98,35046300,62.98
12/12/2016,42716,61.82,62.299999,61.720001,62.169998,20057000,62.169998
12/9/2016,42713,61.18,61.990002,61.130001,61.970001,26670800,61.970001
12/8/2016,42712,61.299999,61.580002,60.84,61.009998,21043400,61.009998
12/7/2016,42711,60.009998,61.380001,59.799999,61.369999,29769100,61.369999
12/6/2016,42710,60.43,60.459999,59.799999,59.950001,19850100,59.950001
12/5/2016,42709,59.700001,60.59,59.560001,60.220001,23126500,60.220001
12/2/2016,42706,59.080002,59.470001,58.799999,59.25,25384900,59.25
12/1/2016,42705,60.110001,60.150002,58.939999,59.200001,33917000,59.200001
11/30/2016,42704,60.860001,61.18,60.220001,60.259998,33783900,60.259998
11/29/2016,42703,60.650002,61.41,60.52,61.09,22010800,61.09
11/28/2016,42702,60.34,61.02,60.209999,60.610001,20603800,60.610001
11/25/2016,42699,60.299999,60.529999,60.130001,60.529999,8370500,60.529999
11/23/2016,42697,61.009998,61.099998,60.25,60.400002,21847200,60.400002
11/22/2016,42696,60.98,61.259998,60.810001,61.119999,22645300,61.119999
11/21/2016,42695,60.5,60.970001,60.419998,60.860001,19563200,60.860001
11/18/2016,42692,60.779999,61.139999,60.299999,60.349998,26580600,60.349998
11/17/2016,42691,60.41,60.950001,59.970001,60.639999,31463700,60.639999
11/16/2016,42690,58.939999,59.66,58.810001,59.650002,26851400,59.650002
